iso3,country,year,sub_region_name,region_name,sdg_region,variable,question_number,source_name,population,count,comment_from_country,sex,Order 
NZL,New Zealand,2024,Australia and New Zealand,Oceania,Australia and New Zealand (M49),Prevalence Rate of Psychological violence Males,7.1.12,CTS,5213944,20.6,,male,5
PRT,Portugal,2022,Southern Europe,Europe,Northern America (M49) and Europe (M49),Prevalence Rate of Psychological violence Males,7.1.12,SDG,10417072.5,1.8,,male,5
SVN,Slovenia,2020,Southern Europe,Europe,Northern America (M49) and Europe (M49),Prevalence Rate of Psychological violence Males,7.1.12,CTS,2102419.5,3.56,,male,5
UGA,Uganda,2022,Eastern Africa,Africa,Sub-Saharan Africa (M49),Prevalence Rate of Psychological violence Males,7.1.12,SDG,47312719.5,18.7,,male,5
BRA,Brazil,2019,South America,Americas,Latin America and the Caribbean (MDG=M49),Prevalence Rate of Psychological violence Females,7.1.12,SDG,207455459.5,18.6,,female,6
DEU,Germany,2020,Western Europe,Europe,Northern America (M49) and Europe (M49),Prevalence Rate of Psychological violence Females,7.1.12,SDG,83628708.5,6,,female,6
EST,Estonia,2024,Northern Europe,Europe,Northern America (M49) and Europe (M49),Prevalence Rate of Psychological violence Females,7.1.12,CTS,1360546,21,,female,6
FIN,Finland,2023,Northern Europe,Europe,Northern America (M49) and Europe (M49),Prevalence Rate of Psychological violence Females,7.1.12,CTS,5601185.5,9.1,,female,6
HRV,Croatia,2022,Southern Europe,Europe,Northern America (M49) and Europe (M49),Prevalence Rate of Psychological violence Females,7.1.12,CTS,3907027,26.9,,female,6
ITA,Italy,2023,Southern Europe,Europe,Northern America (M49) and Europe (M49),Prevalence Rate of Psychological violence Females,7.1.12,CTS,59499453,0.5,,female,6
LUX,Luxembourg,2020,Western Europe,Europe,Northern America (M49) and Europe (M49),Prevalence Rate of Psychological violence Females,7.1.12,CTS,630597,14.78346601,,female,6
MEX,Mexico,2024,Central America,Americas,Latin America and the Caribbean (MDG=M49),Prevalence Rate of Psychological violence Females,7.1.12,CTS,130861007,8.8,"Fuente: Encuesta Nacional de Victimización y Percepción de Seguridad Pública (ENVIPE), 2022, 2023, 2024 y 2025.",female,6
NZL,New Zealand,2024,Australia and New Zealand,Oceania,Australia and New Zealand (M49),Prevalence Rate of Psychological violence Females,7.1.12,SDG,5213944,22.2,,female,6
PRT,Portugal,2022,Southern Europe,Europe,Northern America (M49) and Europe (M49),Prevalence Rate of Psychological violence Females,7.1.12,SDG,10417072.5,2,,female,6
SVN,Slovenia,2020,Southern Europe,Europe,Northern America (M49) and Europe (M49),Prevalence Rate of Psychological violence Females,7.1.12,CTS,2102419.5,4.39,,female,6
UGA,Uganda,2022,Eastern Africa,Africa,Sub-Saharan Africa (M49),Prevalence Rate of Psychological violence Females,7.1.12,SDG,47312719.5,32.7,,female,6
