country,violenceType,sex,value,year
Brazil,Psychological violence,Men,16,2019
Croatia,Psychological violence,Men,21.9,2022
Estonia,Psychological violence,Men,17.8,2024
Finland,Psychological violence,Men,8.4,2023
Germany,Psychological violence,Men,7.6,2020
Italy,Psychological violence,Men,1,2023
Luxembourg,Psychological violence,Men,14.09745687,2020
Mexico,Psychological violence,Men,6.5,2024
New Zealand,Psychological violence,Men,20.6,2024
Portugal,Psychological violence,Men,1.8,2022
Slovenia,Psychological violence,Men,3.56,2020
Uganda,Psychological violence,Men,18.7,2022
Brazil,Psychological violence,Women,18.6,2019
Croatia,Psychological violence,Women,26.9,2022
Estonia,Psychological violence,Women,21,2024
Finland,Psychological violence,Women,9.1,2023
Germany,Psychological violence,Women,6,2020
Italy,Psychological violence,Women,0.5,2023
Luxembourg,Psychological violence,Women,14.78346601,2020
Mexico,Psychological violence,Women,8.8,2024
New Zealand,Psychological violence,Women,22.2,2024
Portugal,Psychological violence,Women,2,2022
Slovenia,Psychological violence,Women,4.39,2020
Uganda,Psychological violence,Women,32.7,2022
