GeoAreaName,Value
Armenia,93.4
Belarus,93
Gambia,90.3
State of Palestine,89
Guatemala,40.6
Israel,80
Italy,51
Norway,45
South Africa,88.8
Tunisia,72
Türkiye,53
United Kingdom of Great Britain and Northern Ireland,67
