GeoAreaName,Category,Value
State of Palestine,Secondary education,91
Germany,Secondary education,41
Greece,Secondary education,37.1
Guatemala,Secondary education,40.6
Iceland,Secondary education,66.2
Iraq,Secondary education,71.3
Ireland,Secondary education,68.1
Israel,Secondary education,80
Italy,Secondary education,48.3
Japan,Secondary education,33.9
Jordan,Secondary education,24.9
Republic of Korea,Secondary education,45.4
Lebanon,Secondary education,68.6
Latvia,Secondary education,38
Luxembourg,Secondary education,43.4
Mali,Secondary education,6.2
Mexico,Secondary education,64
Netherlands (Kingdom of the),Secondary education,70.6
New Zealand,Secondary education,55.4
Norway,Secondary education,36
Portugal,Secondary education,49.8
Slovakia,Secondary education,43.4
Slovenia,Secondary education,57.4
South Africa,Secondary education,91
Spain,Secondary education,50.6
Sweden,Secondary education,61.8
Switzerland,Secondary education,76.3
Tunisia,Secondary education,64
United Kingdom of Great Britain and Northern Ireland,Secondary education,67
