GeoAreaName,Value
Australia,70.6
Austria,52.4
Belgium,63.7
Brazil,29.7
Belarus,89
Canada,68.3
Chile,41.2
Colombia,56.1
Costa Rica,64.4
Czechia,51.9
Denmark,74.4
Estonia,67.8
Finland,80.8
France,47.5
Gambia,88.9
State of Palestine,91
Germany,41
Greece,37.1
Guatemala,40.6
Iceland,66.2
Iraq,71.3
Ireland,68.1
Israel,80
Italy,48.3
Japan,33.9
Jordan,24.9
Republic of Korea,45.4
Lebanon,68.6
Latvia,38
Luxembourg,43.4
Mali,6.2
Mexico,64
Netherlands (Kingdom of the),70.6
New Zealand,55.4
Norway,36
Portugal,49.8
Slovakia,43.4
Slovenia,57.4
South Africa,91
Spain,50.6
Sweden,61.8
Switzerland,76.3
Tunisia,64
United Kingdom of Great Britain and Northern Ireland,67
