GeoAreaName,Value
Mali,7.1
Brazil,31.8
Portugal,42.7
Japan,42.9
Ecuador,43
Spain,45.3
Chile,51.1
Germany,51.1
Ireland,51.2
France,52.4
Slovakia,53.9
Greece,54.2
Gambia,55.3
Colombia,59.6
Czechia,61.7
Latvia,63
United Kingdom of Great Britain and Northern Ireland,65.1
Slovenia,66.2
Austria,66.5
Costa Rica,66.5
Iceland,66.5
Australia,67.8
Canada,68.9
Uganda,69
New Zealand,70.5
Denmark,72.4
Sweden,73.1
Belgium,74.3
Norway,75
Tunisia,75
Republic of Korea,75.9
Netherlands (Kingdom of the),78.3
Switzerland,81.4
Thailand,81.69
Israel,82
Mexico,82.5
Finland,82.7
Viet Nam,82.9
Estonia,83.2
Luxembourg,84.4
South Africa,86.9
State of Palestine,92
Belarus,94
Lithuania,95.9
Cyprus,98.7
Azerbaijan,99.9
